name,code1,code2,code3,code4,code5,code6,code7,code8,code9,code10,code11,code12,code13,code14,code15,code16,code17,code18,code19,code20,code21
"Apium graveolens (Sci.)", D037,,,,,,,,,,,,,,,,,,,,
"Apple pazham (Mal., Tam.)", E001,E002,E003,E004,,,,,,,,,,,,,,,,,
"Apple, big (Common)", E001,,,,,,,,,,,,,,,,,,,,
"Apple, green (Common)", E002,,,,,,,,,,,,,,,,,,,,
"Apple, small (Common)", E003,,,,,,,,,,,,,,,,,,,,
"Apple, small, Kashmir (Common)", E004,,,,,,,,,,,,,,,,,,,,
"Apricot, dried (Common)", E005,,,,,,,,,,,,,,,,,,,,
"Apricot, processed (Common)", E006,,,,,,,,,,,,,,,,,,,,
"Aprion virescens (Sci.)", P004 , P088,,,,,,,,,,,,,,,,,,,
"Arachis hypogea (Sci.)", H012,,,,,,,,,,,,,,,,,,,,
"Arati doota (Tel.)", D064,,,,,,,,,,,,,,,,,,,,
"Arati kayi (Tel.)", D063,,,,,,,,,,,,,,,,,,,,
"Arati pandu (Tel.)", E009,E010,E011,E012,,,,,,,,,,,,,,,,,
"Arati puvvu (Tel.)", D062,,,,,,,,,,,,,,,,,,,,
"Arbi de dande (P.)", D040, D041,,,,,,,,,,,,,,,,,,,
"Arbi-di-patte (P.)", C018,,,,,,,,,,,,,,,,,,,,
"Areca catechu (Sci.)", H002, H003, H004,,,,,,,,,,,,,,,,,,
"Arecanut, dried, brown (Common)", H002,,,,,,,,,,,,,,,,,,,,
"Arecanut, dried, red color (Common)", H003,,,,,,,,,,,,,,,,,,,,
"Arecanut, fresh (Common)", H004,,,,,,,,,,,,,,,,,,,,
"Arhar dal (B., H., Kash., P.)", B021,,,,,,,,,,,,,,,,,,,,
"Arhar ki fali (H. )", D067,,,,,,,,,,,,,,,,,,,,
"Arhar sabud (H.)", B022,,,,,,,,,,,,,,,,,,,,
"Arhar sabut dal (P.)", B022,,,,,,,,,,,,,,,,,,,,
"Ari fish (Common)", P004,,,,,,,,,,,,,,,,,,,,
"Arisi (Tam.)", A013, A015,,,,,,,,,,,,,,,,,,,
"Arius sp. (Sci.)", P018,,,,,,,,,,,,,,,,,,,,
"Aroo (H., P.)", E050,,,,,,,,,,,,,,,,,,,,
"Artocarpus heterophyllus (Sci.)", D051, D052, D030,,,,,,,,,,,,,,,,,,
"Arvi ka patta (U.)", C018,,,,,,,,,,,,,,,,,,,,
"Arvi ka sag (H.)", C018,,,,,,,,,,,,,,,,,,,,
"Arwi (H., P., U.)", F004,,,,,,,,,,,,,,,,,,,,
"Arwi ke kade (U.)", D040, D041,,,,,,,,,,,,,,,,,,,
"Arwi -ki-dandi (H.)", D040, D041,,,,,,,,,,,,,,,,,,,
"Asadio na pan (G.)", C021,,,,,,,,,,,,,,,,,,,,
"Asadiyo (G.)", H008,,,,,,,,,,,,,,,,,,,,
"Asafoetida (Common)", G019,,,,,,,,,,,,,,,,,,,,
"Ash gourd (Common)", D001,,,,,,,,,,,,,,,,,,,,
"Assur (Kash.)", H013,,,,,,,,,,,,,,,,,,,,
"Ata (B.)", A019,,,,,,,,,,,,,,,,,,,,
"Ata (B., O)", E016,,,,,,,,,,,,,,,,,,,,
"Atasii (S.)", H014,,,,,,,,,,,,,,,,,,,,
"Athipazham (Mal., Tam.)", E020,,,,,,,,,,,,,,,,,,,,
"Atta (H., P.)", A019,,,,,,,,,,,,,,,,,,,,
"Atti pandu (Tel.)", E020,,,,,,,,,,,,,,,,,,,,
"Atukulu (Tel.)", A011,,,,,,,,,,,,,,,,,,,,
"Atule mate (Sci.)", P029,,,,,,,,,,,,,,,,,,,,
"Auchumooda (Kan.)", C028,,,,,,,,,,,,,,,,,,,,
"AvaAkulu (Tel.)", C026,,,,,,,,,,,,,,,,,,,,
"Aval (Mal., Tam.)", A011,,,,,,,,,,,,,,,,,,,,
"Avalakki (Kan.)", A011,,,,,,,,,,,,,,,,,,,,
"Avalu (Tel.)",H013,,,,,,,,,,,,,,,,,,,,
"Avar (Mal.)", B007,B008,B009, D047, D048,,,,,,,,,,,,,,,,
"Avarai (Tam.)", D032,,,,,,,,,,,,,,,,,,,,
"Avare (Kan.)", B007,B008,B009, D047, D048,,,,,,,,,,,,,,,,
"Averrhoa carambola (Sci.)", E062,,,,,,,,,,,,,,,,,,,,
"Avise akulu (Tel.)", C001,,,,,,,,,,,,,,,,,,,,
"Avise ginzalu (Tel.)", H014,,,,,,,,,,,,,,,,,,,,
"Avithri (H.)", G027,,,,,,,,,,,,,,,,,,,,
"Avocado fruit (Common)", E007,,,,,,,,,,,,,,,,,,,,
"Awathabi Amunba (M.)", G016,,,,,,,,,,,,,,,,,,,,
"Baabari (N.)", G016,,,,,,,,,,,,,,,,,,,,
"Baajra (A.)", A003,,,,,,,,,,,,,,,,,,,,
